design	n	PC1_fraction	r	ci_low	ci_high	p	q
all9	520	0.8559653374957656	0.6120366569402993	0.5537926914251795	0.6685534837617475	9.189602100886919e-55	1.8379204201773837e-54
without_Shared84	520	0.8564073707296408	0.600247241469657	0.537087886653951	0.659682352798533	3.25995112586415e-52	3.25995112586415e-52
