mixture	design	median	minimum	maximum	resampling_2_5_percent	resampling_97_5_percent
equal_cells_fixed_RNA	all9	0.5244432286796881	0.39883825133312045	0.6341065699013396	0.4399005805950486	0.5960496988472113
equal_cells_fixed_RNA	without_Shared84	0.5022962962412565	0.3651156049404619	0.6298504000503747	0.4141384464661636	0.5965542328351982
equal_cells_pooled	all9	0.5346689452152935	0.4221927722206466	0.6203438217557339	0.45682204001057614	0.5937201595177924
equal_cells_pooled	without_Shared84	0.5186170569809911	0.38647353339273904	0.6238717853619866	0.43867128888026247	0.594151609566381
