target	design	reference	n	partial_r	ci_low	ci_high	p	primary	q
GZMK40	other_PC1	CD3_IHC	83	-0.02802976340249744	-0.26092570413259575	0.20108619683960519	0.8026084031264071	True	0.9172667464301796
GZMK40	other_PC1	CD45_protein	108	0.29548665455537537	0.08394508473339284	0.47738219429735124	0.0020019546610551106	True	0.008007818644220442
GZMK40	other_PC1	IFN_protein	108	-0.3098113756952021	-0.4751305449788223	-0.08236261344269784	0.0011648085938005598	True	0.0023296171876011195
GZMK40	other_PC1	IFN_protein_adjusted_CD3_CD45	83	-0.30329845453339116	-0.476348654357709	-0.017864872554906625	0.006241299813767419	True	0.012482599627534839
GZMK40	target_gene_disjoint_PC1	CD3_IHC	83	-0.0027443584272932972	-0.22536191900238084	0.21802428850091235	0.9804779135388019	True	0.9804779135388019
GZMK40	target_gene_disjoint_PC1	CD45_protein	108	0.32007407695762125	0.10683744404682875	0.514071491857837	0.0007770149607108116	True	0.0031080598428432464
GZMK40	target_gene_disjoint_PC1	IFN_protein	108	-0.26890434467995844	-0.44982094683221086	-0.021138082172210505	0.005099534785950917	True	0.013598759429202446
GZMK40	target_gene_disjoint_PC1	IFN_protein_adjusted_CD3_CD45	83	-0.25422654133372924	-0.44214187861177134	0.042113669179488604	0.022869328561345152	True	0.060984876163587075
CYT2	other_PC1	CD3_IHC	83	-0.17226190709958078	-0.3750612908976484	0.06979212858366042	0.1217321893161552	True	0.4869287572646208
CYT2	other_PC1	CD45_protein	108	-0.14048777902940573	-0.3330852219754211	0.11649882986480481	0.14893127912338774	True	0.19857503883118366
CYT2	other_PC1	IFN_protein	108	0.08144900033399909	-0.09956006687685055	0.3222543614752889	0.4042775378750788	True	0.4620314718572329
CYT2	other_PC1	IFN_protein_adjusted_CD3_CD45	83	0.18030513550906274	-0.023938358019016438	0.44793346490143127	0.10949576542963904	True	0.1459943539061854
CYT2	target_gene_disjoint_PC1	CD3_IHC	83	-0.1666614352910508	-0.38181845098319905	0.06403480838855657	0.134522779305471	True	0.37122806498932454
CYT2	target_gene_disjoint_PC1	CD45_protein	108	-0.12460551916248311	-0.3257704320519429	0.11894394525900032	0.20097432100661647	True	0.2679657613421553
CYT2	target_gene_disjoint_PC1	IFN_protein	108	0.10533722411216487	-0.08269173584620254	0.3211229973266546	0.28021965033063345	True	0.32025102894929536
CYT2	target_gene_disjoint_PC1	IFN_protein_adjusted_CD3_CD45	83	0.2057464026303036	-0.011597249078939682	0.44697510935206325	0.06711085954479531	True	0.13422171908959063
EXH5	other_PC1	CD3_IHC	83	-0.03779594537047517	-0.2297194355009473	0.20755555596106043	0.736024153842236	True	0.9172667464301796
EXH5	other_PC1	CD45_protein	108	0.19608123779149184	-0.00872172764094008	0.4158564544082287	0.04295459874517151	True	0.06872735799227442
EXH5	other_PC1	IFN_protein	108	0.020758209366280263	-0.19249159963657628	0.2519189161181632	0.8319311961969156	True	0.8319311961969156
EXH5	other_PC1	IFN_protein_adjusted_CD3_CD45	83	-0.002947840458496499	-0.23073883414865076	0.2576180572907809	0.9792961264908897	True	0.9792961264908897
EXH5	target_gene_disjoint_PC1	CD3_IHC	83	0.00406764802164549	-0.20245797407873511	0.24086596277818742	0.9710680384685496	True	0.9804779135388019
EXH5	target_gene_disjoint_PC1	CD45_protein	108	0.2085027816841533	0.00022437246334441134	0.42705750466893305	0.03114749971326933	True	0.06229499942653866
EXH5	target_gene_disjoint_PC1	IFN_protein	108	0.0476268902288185	-0.14833137996002557	0.29660891096781783	0.6261545323118274	True	0.6261545323118274
EXH5	target_gene_disjoint_PC1	IFN_protein_adjusted_CD3_CD45	83	0.011245317124886377	-0.19177457528382974	0.3007660439577853	0.9211372514509518	True	0.9211372514509518
IFNG6	other_PC1	CD3_IHC	83	-0.045504108453610734	-0.24147477389249974	0.1968944945872574	0.6847854049116461	True	0.9172667464301796
IFNG6	other_PC1	CD45_protein	108	-0.21094811711819605	-0.4312374689356001	0.04988251761452587	0.029180430927323385	True	0.05836086185464677
IFNG6	other_PC1	IFN_protein	108	0.6288174260499546	0.4479120860215476	0.7483296581940172	4.096693850131126e-13	True	3.2773550801049008e-12
IFNG6	other_PC1	IFN_protein_adjusted_CD3_CD45	83	0.5938176997357029	0.3479613432477865	0.7476078103120797	6.406343295226358e-09	True	5.125074636181086e-08
IFNG6	target_gene_disjoint_PC1	CD3_IHC	83	-0.028283061608762202	-0.24132934853360738	0.21546553998997353	0.8008612665162321	True	0.9804779135388019
IFNG6	target_gene_disjoint_PC1	CD45_protein	108	-0.19502387642568658	-0.42287727581971135	0.08994785057953121	0.04411243620688238	True	0.0705798979310118
IFNG6	target_gene_disjoint_PC1	IFN_protein	108	0.6422313146797485	0.4719326202626822	0.7507857554087779	8.942106987989176e-14	True	7.153685590391341e-13
IFNG6	target_gene_disjoint_PC1	IFN_protein_adjusted_CD3_CD45	83	0.6089265271212888	0.36501021844312936	0.7500757656645212	2.0613175288234473e-09	True	1.6490540230587578e-08
