variable	n_included	n_excluded	included_median	excluded_median	p	q
n_cells	22	5	4526.5	310.0	0.0004707048185309	0.0028242289111854004
UMI_per_cell	22	5	6570.199620424728	4590.71875	0.0014864362690449	0.0044593088071347
genes_per_cell	22	5	1806.0867620973545	1150.9129032258063	0.027870680044593	0.0334448160535116
median_UMI	22	5	5460.5	3965.0	0.0101077666295057	0.015161649944258549
mixed_fraction	22	5	0.0083070155929522	0.133377135348226	0.0048804657500309	0.0097609315000618
pathological_response_percent	22	5	10.0	10.0	0.5804191228247471	0.5804191228247471
