cohort	covariate	n	r	p
GSE288199_native22	n_cells	22	0.1259175607001694	0.5765977724368206
GSE288199_native22	UMI_per_cell	22	0.611518915866742	0.002494527477685147
GSE288199_native22	genes_per_cell	22	0.6070016939582158	0.002739216116822334
GSE288199_native22	mixed_fraction	22	0.6544325239977415	0.0009517448957569587
GSE288199_fixed22	n_cells	22	0.15866741953698477	0.48064705182624184
GSE288199_fixed22	UMI_per_cell	22	0.5527950310559007	0.007626484615782747
GSE288199_fixed22	genes_per_cell	22	0.531338226990401	0.010937355669205435
GSE288199_fixed22	mixed_fraction	22	0.5618294748729532	0.0065059423874623675
