	GZMK40	Cytotoxic2	Exhausted5	IFNG6	TLS9	TcellInflamedGEP18	KoreaResponderNetwork30	IMCISION_DysfunctionalTrajectory238	IMCISION_SharedTrajectory84
GZMK40	1.0	0.7254901960784315	0.7027863777089782	0.5686274509803921	-0.01960784313725491	0.5479876160990712	0.7523219814241485	0.6326109391124872	0.6800825593395254
Cytotoxic2	0.7254901960784315	1.0	0.7667698658410732	0.4819401444788442	0.11248710010319918	0.4860681114551085	0.7770897832817338	0.5479876160990713	0.6965944272445822
Exhausted5	0.7027863777089782	0.7667698658410732	0.9999999999999998	0.4757481940144479	0.2652218782249742	0.45923632610939114	0.6408668730650156	0.760577915376677	0.7234262125902994
IFNG6	0.5686274509803921	0.4819401444788442	0.4757481940144479	1.0	0.4097007223942209	0.9071207430340558	0.6842105263157894	0.5459236326109391	0.3415892672858618
TLS9	-0.01960784313725491	0.11248710010319918	0.2652218782249742	0.4097007223942209	1.0	0.3188854489164087	0.09184726522187821	0.023735810113519062	-0.22807017543859653
TcellInflamedGEP18	0.5479876160990712	0.4860681114551085	0.45923632610939114	0.9071207430340558	0.3188854489164087	1.0	0.6986584107327142	0.48813209494324056	0.325077399380805
KoreaResponderNetwork30	0.7523219814241485	0.7770897832817338	0.6408668730650156	0.6842105263157894	0.09184726522187821	0.6986584107327142	1.0	0.607843137254902	0.7027863777089784
IMCISION_DysfunctionalTrajectory238	0.6326109391124872	0.5479876160990713	0.760577915376677	0.5459236326109391	0.023735810113519062	0.48813209494324056	0.607843137254902	1.0	0.8410732714138288
IMCISION_SharedTrajectory84	0.6800825593395254	0.6965944272445822	0.7234262125902994	0.3415892672858618	-0.22807017543859653	0.325077399380805	0.7027863777089784	0.8410732714138288	0.9999999999999998
