analysis_set	compartment	gene_design	n	n_signatures	pc1_ci_low	pc1_ci_high	pc1_variance	median_abs_rho	effective_dimensions
matched_four_50	native_four	full_same_six	22	6	0.49407839662077746	0.7528059624831137	0.6437450785845655	0.6318464144551103	2.179260256596828
matched_four_50	native_four	exclusive_six	22	6	0.36046860824000426	0.6689488102610787	0.5211083516626742	0.4398644833427443	3.0043775749384287
matched_four_50	fixed_equal_RNA_four	full_same_six	22	6	0.46193914218800447	0.7307696227105578	0.6122066247744438	0.5460191981931114	2.3733784635594617
matched_four_50	fixed_equal_RNA_four	exclusive_six	22	6	0.36174838735874315	0.6322716632378974	0.4740838980609374	0.337097684923772	3.41837612908078
matched_four_100	native_four	full_same_six	18	6	0.44293453871466837	0.7651313104518167	0.6316907254938605	0.6160990712074302	2.239483649182277
matched_four_100	native_four	exclusive_six	18	6	0.34369335649470656	0.7046135344037036	0.5200982630304328	0.4324045407636739	3.026172050272858
matched_four_100	fixed_equal_RNA_four	full_same_six	18	6	0.4503561892408187	0.7323446768305161	0.6065126800557843	0.5479876160990712	2.38295284681779
matched_four_100	fixed_equal_RNA_four	exclusive_six	18	6	0.33941024229489697	0.595248136034866	0.44001332556692624	0.3353973168214654	3.67467292487154
