	GZMK40	Cytotoxic2	Exhausted5	IFNG6	TLS9	TcellInflamedGEP18	KoreaResponderNetwork30	IMCISION_DysfunctionalTrajectory238	IMCISION_SharedTrajectory84
GZMK40	0.9999999999999998	0.91124871001032	0.7316821465428278	0.696594427244582	0.10216718266253864	0.6470588235294119	0.886480908152735	0.6222910216718267	0.5541795665634675
Cytotoxic2	0.91124871001032	0.9999999999999998	0.7894736842105262	0.6243550051599588	0.11455108359133122	0.6326109391124871	0.8596491228070174	0.6057791537667698	0.6202270381836946
Exhausted5	0.7316821465428278	0.7894736842105262	1.0	0.4716202270381836	-0.046439628482972145	0.5314757481940146	0.6759545923632612	0.8452012383900929	0.8740970072239422
IFNG6	0.696594427244582	0.6243550051599588	0.4716202270381836	1.0	0.30030959752321984	0.9401444788441692	0.7027863777089783	0.5562435500515995	0.39525283797729616
TLS9	0.10216718266253864	0.11455108359133122	-0.046439628482972145	0.30030959752321984	1.0	0.15995872033023736	0.14963880288957687	-0.11455108359133127	-0.21362229102167185
TcellInflamedGEP18	0.6470588235294119	0.6326109391124871	0.5314757481940146	0.9401444788441692	0.15995872033023736	0.9999999999999998	0.6160990712074302	0.587203302373581	0.48194014447884426
KoreaResponderNetwork30	0.886480908152735	0.8596491228070174	0.6759545923632612	0.7027863777089783	0.14963880288957687	0.6160990712074302	1.0	0.6222910216718267	0.521155830753354
IMCISION_DysfunctionalTrajectory238	0.6222910216718267	0.6057791537667698	0.8452012383900929	0.5562435500515995	-0.11455108359133127	0.587203302373581	0.6222910216718267	1.0	0.9195046439628483
IMCISION_SharedTrajectory84	0.5541795665634675	0.6202270381836946	0.8740970072239422	0.39525283797729616	-0.21362229102167185	0.48194014447884426	0.521155830753354	0.9195046439628483	1.0
