	GZMK40	Cytotoxic2	Exhausted5	IFNG6	TLS9	TcellInflamedGEP18	KoreaResponderNetwork30	IMCISION_DysfunctionalTrajectory238	IMCISION_SharedTrajectory84
GZMK40	0.9999999999999998	0.5356037151702788	0.5954592363261094	0.4220846233230134	0.46542827657378744	0.545923632610939	0.6697626418988647	0.8142414860681115	0.8575851393188856
Cytotoxic2	0.5356037151702788	0.9999999999999998	0.3911248710010321	0.16821465428276575	0.1475748194014448	0.8018575851393188	0.7956656346749227	0.651186790505676	0.5376676986584108
Exhausted5	0.5954592363261094	0.3911248710010321	0.9999999999999998	0.3415892672858618	0.519091847265222	0.4179566563467493	0.5830753353973169	0.69453044375645	0.6264189886480909
IFNG6	0.4220846233230134	0.16821465428276575	0.3415892672858618	1.0	0.7543859649122807	0.5025799793601652	0.09391124871001032	0.5376676986584108	0.3973168214654282
TLS9	0.46542827657378744	0.1475748194014448	0.519091847265222	0.7543859649122807	1.0000000000000002	0.4840041279669762	0.16408668730650144	0.6986584107327142	0.47368421052631576
TcellInflamedGEP18	0.545923632610939	0.8018575851393188	0.4179566563467493	0.5025799793601652	0.4840041279669762	1.0	0.6346749226006192	0.692466460268318	0.5830753353973169
KoreaResponderNetwork30	0.6697626418988647	0.7956656346749227	0.5830753353973169	0.09391124871001032	0.16408668730650144	0.6346749226006192	0.9999999999999998	0.6119711042311662	0.6800825593395253
IMCISION_DysfunctionalTrajectory238	0.8142414860681115	0.651186790505676	0.69453044375645	0.5376676986584108	0.6986584107327142	0.692466460268318	0.6119711042311662	1.0	0.7997936016511868
IMCISION_SharedTrajectory84	0.8575851393188856	0.5376676986584108	0.6264189886480909	0.3973168214654282	0.47368421052631576	0.5830753353973169	0.6800825593395253	0.7997936016511868	1.0000000000000002
