	GZMK40	Cytotoxic2	Exhausted5	IFNG6	TLS9	TcellInflamedGEP18	KoreaResponderNetwork30	IMCISION_DysfunctionalTrajectory238	IMCISION_SharedTrajectory84
GZMK40	1.0	0.8224974200206399	0.6759545923632612	0.4716202270381836	-0.21568627450980393	0.4406604747162022	0.8101135190918471	0.7027863777089784	0.6883384932920535
Cytotoxic2	0.8224974200206399	1.0	0.8307533539731683	0.3746130030959752	-0.20949432404540766	0.48606811145510836	0.8782249742002065	0.7874097007223942	0.8390092879256966
Exhausted5	0.6759545923632612	0.8307533539731683	1.0	0.37254901960784315	-0.09803921568627452	0.3725490196078431	0.7275541795665634	0.8348813209494325	0.8679050567595459
IFNG6	0.4716202270381836	0.3746130030959752	0.37254901960784315	0.9999999999999998	0.12899896800825594	0.894736842105263	0.5872033023735809	0.6037151702786377	0.2528379772961816
TLS9	-0.21568627450980393	-0.20949432404540766	-0.09803921568627452	0.12899896800825594	1.0	0.2445820433436533	-0.017543859649122803	-0.09184726522187829	-0.29824561403508776
TcellInflamedGEP18	0.4406604747162022	0.48606811145510836	0.3725490196078431	0.894736842105263	0.2445820433436533	0.9999999999999998	0.587203302373581	0.5748194014447886	0.3085655314757481
KoreaResponderNetwork30	0.8101135190918471	0.8782249742002065	0.7275541795665634	0.5872033023735809	-0.017543859649122803	0.587203302373581	1.0	0.7791537667698659	0.6965944272445822
IMCISION_DysfunctionalTrajectory238	0.7027863777089784	0.7874097007223942	0.8348813209494325	0.6037151702786377	-0.09184726522187829	0.5748194014447886	0.7791537667698659	1.0	0.8328173374613004
IMCISION_SharedTrajectory84	0.6883384932920535	0.8390092879256966	0.8679050567595459	0.2528379772961816	-0.29824561403508776	0.3085655314757481	0.6965944272445822	0.8328173374613004	1.0
