	GZMK40	Cytotoxic2	Exhausted5	IFNG6	TLS9	TcellInflamedGEP18	KoreaResponderNetwork30	IMCISION_DysfunctionalTrajectory238	IMCISION_SharedTrajectory84
GZMK40	1.0	0.32094943240454077	0.8740970072239423	0.5314757481940146	0.2693498452012385	0.4901960784313726	0.7440660474716203	0.8142414860681115	0.785345717234262
Cytotoxic2	0.32094943240454077	1.0	0.4324045407636739	-0.08978328173374615	0.2425180598555211	0.26728586171310637	0.38906088751289986	0.41176470588235287	0.2074303405572755
Exhausted5	0.8740970072239423	0.4324045407636739	1.0	0.3869969040247679	0.4551083591331269	0.49638802889576883	0.717234262125903	0.9009287925696595	0.8328173374613003
IFNG6	0.5314757481940146	-0.08978328173374615	0.3869969040247679	1.0	0.09184726522187822	0.8018575851393188	0.5397316821465429	0.587203302373581	0.5562435500515995
TLS9	0.2693498452012385	0.2425180598555211	0.4551083591331269	0.09184726522187822	1.0	0.04231166150670798	0.007223942208462277	0.29411764705882354	0.38080495356037153
TcellInflamedGEP18	0.4901960784313726	0.26728586171310637	0.49638802889576883	0.8018575851393188	0.04231166150670798	1.0	0.7296181630546957	0.7213622291021672	0.5727554179566564
KoreaResponderNetwork30	0.7440660474716203	0.38906088751289986	0.717234262125903	0.5397316821465429	0.007223942208462277	0.7296181630546957	1.0	0.7915376676986582	0.6470588235294119
IMCISION_DysfunctionalTrajectory238	0.8142414860681115	0.41176470588235287	0.9009287925696595	0.587203302373581	0.29411764705882354	0.7213622291021672	0.7915376676986582	1.0	0.803921568627451
IMCISION_SharedTrajectory84	0.785345717234262	0.2074303405572755	0.8328173374613003	0.5562435500515995	0.38080495356037153	0.5727554179566564	0.6470588235294119	0.803921568627451	0.9999999999999998
