	GZMK40	Cytotoxic2	Exhausted5	IFNG6	TLS9	TcellInflamedGEP18	KoreaResponderNetwork30	IMCISION_DysfunctionalTrajectory238	IMCISION_SharedTrajectory84
GZMK40	1.0	0.95046439628483	0.5356037151702786	0.7048503611971105	0.7791537667698658	0.4695562435500517	0.9463364293085657	0.6119711042311661	0.17440660474716202
Cytotoxic2	0.95046439628483	1.0	0.38080495356037153	0.6243550051599588	0.6904024767801858	0.34158926728586175	0.977296181630547	0.4633642930856554	0.06295149638802895
Exhausted5	0.5356037151702786	0.38080495356037153	0.9999999999999998	0.8452012383900929	0.48813209494324056	0.9422084623323014	0.3725490196078432	0.9731682146542826	0.8534571723426212
IFNG6	0.7048503611971105	0.6243550051599588	0.8452012383900929	1.0	0.6697626418988649	0.8926728586171312	0.5933952528379774	0.9174406604747162	0.6738906088751291
TLS9	0.7791537667698658	0.6904024767801858	0.48813209494324056	0.6697626418988649	0.9999999999999998	0.49845201238390097	0.6697626418988649	0.5500515995872034	0.2858617131062952
TcellInflamedGEP18	0.4695562435500517	0.34158926728586175	0.9422084623323014	0.8926728586171312	0.49845201238390097	1.0	0.31682146542827666	0.9649122807017543	0.890608875128999
KoreaResponderNetwork30	0.9463364293085657	0.977296181630547	0.3725490196078432	0.5933952528379774	0.6697626418988649	0.31682146542827666	1.0	0.4468524251805986	0.050567595459236336
IMCISION_DysfunctionalTrajectory238	0.6119711042311661	0.4633642930856554	0.9731682146542826	0.9174406604747162	0.5500515995872034	0.9649122807017543	0.4468524251805986	1.0	0.8121775025799793
IMCISION_SharedTrajectory84	0.17440660474716202	0.06295149638802895	0.8534571723426212	0.6738906088751291	0.2858617131062952	0.890608875128999	0.050567595459236336	0.8121775025799793	0.9999999999999998
