	GZMK40	Cytotoxic2	Exhausted5	IFNG6	TLS9	TcellInflamedGEP18	KoreaResponderNetwork30	IMCISION_DysfunctionalTrajectory238	IMCISION_SharedTrajectory84
GZMK40	0.9999999999999998	0.5686274509803922	0.33539731682146534	0.28173374613003105	-0.06914344685242522	0.3292053663570691	0.8823529411764705	0.7192982456140351	0.7296181630546955
Cytotoxic2	0.5686274509803922	1.0	0.4055727554179567	0.5500515995872034	-0.23839009287925694	0.5624355005159959	0.6904024767801856	0.7069143446852424	0.6429308565531475
Exhausted5	0.33539731682146534	0.4055727554179567	1.0	0.5830753353973169	0.2899896800825594	0.5768833849329206	0.3539731682146543	0.4984520123839009	0.7192982456140351
IFNG6	0.28173374613003105	0.5500515995872034	0.5830753353973169	1.0	0.0959752321981424	0.8307533539731682	0.4055727554179566	0.5954592363261095	0.5727554179566564
TLS9	-0.06914344685242522	-0.23839009287925694	0.2899896800825594	0.0959752321981424	1.0	0.3044375644994841	-0.007223942208462306	0.0670794633642931	0.18266253869969046
TcellInflamedGEP18	0.3292053663570691	0.5624355005159959	0.5768833849329206	0.8307533539731682	0.3044375644994841	1.0	0.5335397316821465	0.5211558307533539	0.5603715170278637
KoreaResponderNetwork30	0.8823529411764705	0.6904024767801856	0.3539731682146543	0.4055727554179566	-0.007223942208462306	0.5335397316821465	1.0	0.6883384932920537	0.739938080495356
IMCISION_DysfunctionalTrajectory238	0.7192982456140351	0.7069143446852424	0.4984520123839009	0.5954592363261095	0.0670794633642931	0.5211558307533539	0.6883384932920537	1.0000000000000002	0.8617131062951495
IMCISION_SharedTrajectory84	0.7296181630546955	0.6429308565531475	0.7192982456140351	0.5727554179566564	0.18266253869969046	0.5603715170278637	0.739938080495356	0.8617131062951495	1.0
