	GZMK40	Cytotoxic2	Exhausted5	IFNG6	TLS9	TcellInflamedGEP18	KoreaResponderNetwork30	IMCISION_DysfunctionalTrajectory238	IMCISION_SharedTrajectory84
GZMK40	0.9999999999999998	0.8906088751289988	0.7956656346749227	0.6904024767801857	0.13931888544891635	0.6676986584107327	0.9009287925696594	0.6780185758513932	0.630546955624355
Cytotoxic2	0.8906088751289988	0.9999999999999998	0.7915376676986584	0.6264189886480909	0.12074303405572756	0.7069143446852424	0.847265221878225	0.6160990712074303	0.6429308565531475
Exhausted5	0.7956656346749227	0.7915376676986584	1.0	0.4303405572755418	-0.005159958720330226	0.519091847265222	0.7420020639834883	0.8390092879256966	0.8431372549019607
IFNG6	0.6904024767801857	0.6264189886480909	0.4303405572755418	1.0	0.32714138286893707	0.9174406604747161	0.7131062951496389	0.5087719298245614	0.37048503611971106
TLS9	0.13931888544891635	0.12074303405572756	-0.005159958720330226	0.32714138286893707	1.0	0.2260061919504644	0.17440660474716205	-0.1434468524251806	-0.238390092879257
TcellInflamedGEP18	0.6676986584107327	0.7069143446852424	0.519091847265222	0.9174406604747161	0.2260061919504644	0.9999999999999998	0.675954592363261	0.5789473684210527	0.5005159958720331
KoreaResponderNetwork30	0.9009287925696594	0.847265221878225	0.7420020639834883	0.7131062951496389	0.17440660474716205	0.675954592363261	0.9999999999999998	0.6904024767801858	0.6160990712074303
IMCISION_DysfunctionalTrajectory238	0.6780185758513932	0.6160990712074303	0.8390092879256966	0.5087719298245614	-0.1434468524251806	0.5789473684210527	0.6904024767801858	1.0	0.9215686274509803
IMCISION_SharedTrajectory84	0.630546955624355	0.6429308565531475	0.8431372549019607	0.37048503611971106	-0.238390092879257	0.5005159958720331	0.6160990712074303	0.9215686274509803	1.0
