	GZMK40	Cytotoxic2	Exhausted5	IFNG6	TLS9	TcellInflamedGEP18	KoreaResponderNetwork30	IMCISION_DysfunctionalTrajectory238	IMCISION_SharedTrajectory84
GZMK40	1.0	0.6099071207430342	0.9195046439628483	0.4365325077399381	0.2837977296181631	0.4385964912280701	0.7626418988648092	0.8018575851393188	0.7440660474716204
Cytotoxic2	0.6099071207430342	1.0	0.6759545923632608	0.19917440660474714	0.25490196078431365	0.3498452012383901	0.6367389060887513	0.6140350877192982	0.43240454076367385
Exhausted5	0.9195046439628483	0.6759545923632608	1.0	0.35603715170278644	0.45510835913312686	0.41176470588235287	0.735810113519092	0.8431372549019608	0.7502579979360163
IFNG6	0.4365325077399381	0.19917440660474714	0.35603715170278644	1.0	-0.07533539731682144	0.7936016511867907	0.5913312693498453	0.6326109391124872	0.46749226006191963
TLS9	0.2837977296181631	0.25490196078431365	0.45510835913312686	-0.07533539731682144	1.0	0.0010319917440660565	0.13519091847265213	0.29824561403508776	0.434468524251806
TcellInflamedGEP18	0.4385964912280701	0.3498452012383901	0.41176470588235287	0.7936016511867907	0.0010319917440660565	1.0	0.6924664602683179	0.6759545923632612	0.44891640866873067
KoreaResponderNetwork30	0.7626418988648092	0.6367389060887513	0.735810113519092	0.5913312693498453	0.13519091847265213	0.6924664602683179	1.0	0.8534571723426213	0.6449948400412796
IMCISION_DysfunctionalTrajectory238	0.8018575851393188	0.6140350877192982	0.8431372549019608	0.6326109391124872	0.29824561403508776	0.6759545923632612	0.8534571723426213	0.9999999999999998	0.7192982456140351
IMCISION_SharedTrajectory84	0.7440660474716204	0.43240454076367385	0.7502579979360163	0.46749226006191963	0.434468524251806	0.44891640866873067	0.6449948400412796	0.7192982456140351	0.9999999999999998
