cohort	framework	covariate	n	r	p	q_eight_technical_tests
GSE288199_native22	eight_non_derived_sets	n_cells	22	0.17447769621682668	0.4374017860525457	0.4374017860525457
GSE288199_native22	eight_non_derived_sets	UMI_per_cell	22	0.5798983625070583	0.004670995181901245	0.010166542056446461
GSE288199_native22	eight_non_derived_sets	genes_per_cell	22	0.6024844720496896	0.0030037925524424476	0.010166542056446461
GSE288199_native22	eight_non_derived_sets	mixed_fraction	22	0.639751552795031	0.0013448122724821925	0.010166542056446461
GSE288199_fixed22	eight_non_derived_sets	n_cells	22	0.17447769621682668	0.4374017860525457	0.4374017860525457
GSE288199_fixed22	eight_non_derived_sets	UMI_per_cell	22	0.5437605872388482	0.008901854720796187	0.0142429675532739
GSE288199_fixed22	eight_non_derived_sets	genes_per_cell	22	0.5223037831733485	0.012645173917013017	0.01686023188935069
GSE288199_fixed22	eight_non_derived_sets	mixed_fraction	22	0.575381140598532	0.0050832710282232305	0.010166542056446461
