cohort	sets	full_PC1	exclusive_PC1	null_median	null_low	null_high	p	q_three_tests
CPTAC	6	0.8870807959432174	0.8032222112052435	0.8641968377166291	0.8367264624263889	0.8871275486705629	0.0019980019980019	0.0059940059940057
GSE288199_native22	6	0.6437450785845655	0.5159076356638036	0.5566967739648292	0.472844180291025	0.6194323866478136	0.1558441558441558	0.23376623376623373
GSE288199_fixed22	6	0.6122066247744438	0.4810256467692564	0.5018802935789901	0.4058687632410126	0.5865514458619996	0.3336663336663337	0.3336663336663337
