	GZMK40	CYT2	EXH5	TLS9	GEP18	Korea30	Dysf238	CD3_IHC	CD45_protein
GZMK40	1.0	0.8609630158263724	0.9442928508458927	0.8903698417362834	0.9418790143151007	0.9484908274211833	0.9086940094874271	0.5070210423077451	0.8214180764871334
CYT2	0.8609630158263724	1.0	0.8581713614038036	0.7742538096637426	0.9055455270559597	0.9203433944838592	0.8852902900801821	0.4332936463399713	0.7329457201628818
EXH5	0.9442928508458927	0.8581713614038036	1.0	0.8935603039335039	0.9462239200705267	0.9176147097099199	0.9012216111834098	0.5043705730456551	0.8159397170563789
TLS9	0.8903698417362834	0.7742538096637426	0.8935603039335039	1.0	0.8592208555476266	0.8682884849502541	0.8861718651609927	0.5165880747836549	0.7891146467402713
GEP18	0.9418790143151007	0.9055455270559597	0.9462239200705267	0.8592208555476266	1.0	0.9474833130431137	0.9018093279039504	0.5509702577213624	0.8227614289912267
Korea30	0.9484908274211833	0.9203433944838592	0.9176147097099199	0.8682884849502541	0.9474833130431137	1.0	0.9001931069224638	0.5574855546723958	0.8327526132404178
Dysf238	0.9086940094874271	0.8852902900801821	0.9012216111834098	0.8861718651609927	0.9018093279039504	0.9001931069224638	1.0	0.5031667742572957	0.7749884555644181
CD3_IHC	0.5070210423077451	0.4332936463399713	0.5043705730456551	0.5165880747836549	0.5509702577213624	0.5574855546723958	0.5031667742572957	1.0	0.5332934228817671
CD45_protein	0.8214180764871334	0.7329457201628818	0.8159397170563789	0.7891146467402713	0.8227614289912267	0.8327526132404178	0.7749884555644181	0.5332934228817671	1.0
