	GZMK40	CYT2	EXH5	IFNG6	TLS9	GEP18	Korea30	Dysf238
GZMK40	1.0	0.7120271033314511	0.6770186335403727	0.531338226990401	0.0976849237718802	0.5550536420101637	0.7797854319593448	0.6284584980237152
CYT2	0.7120271033314511	1.0	0.8193111236589495	0.4861660079051384	0.2015810276679842	0.5979672501411635	0.8226990400903446	0.5640880858272163
EXH5	0.6770186335403727	0.8193111236589495	1.0	0.4229249011857708	0.3608130999435348	0.5369847543760587	0.7221908526256354	0.72557876905703
IFNG6	0.531338226990401	0.4861660079051384	0.4229249011857708	1.0	0.3133822699040091	0.8961038961038963	0.6476566911349522	0.5460191981931113
TLS9	0.0976849237718802	0.2015810276679842	0.3608130999435348	0.3133822699040091	1.0	0.31225296442687756	0.15302089215132694	0.04573687182382836
GEP18	0.5550536420101637	0.5979672501411635	0.5369847543760587	0.8961038961038963	0.31225296442687756	1.0	0.7447769621682666	0.5302089215132693
Korea30	0.7797854319593448	0.8226990400903446	0.7221908526256354	0.6476566911349522	0.15302089215132694	0.7447769621682666	1.0	0.6352343308865048
Dysf238	0.6284584980237152	0.5640880858272163	0.72557876905703	0.5460191981931113	0.04573687182382836	0.5302089215132693	0.6352343308865048	1.0
