	GZMK40	CYT2	EXH5	IFNG6	TLS9	GEP18	Korea30	Dysf238
GZMK40	1.0	0.873517786561265	0.7447769621682665	0.707509881422925	-0.006211180124223597	0.6894409937888198	0.8780350084697914	0.6318464144551101
CYT2	0.873517786561265	1.0	0.8351214003387911	0.6916996047430831	0.05138339920948616	0.7639751552795031	0.9051383399209485	0.6194240542066628
EXH5	0.7447769621682665	0.8351214003387911	1.0	0.4918125352907961	-0.0005646527385657782	0.6239412761151891	0.7922077922077921	0.778656126482213
IFNG6	0.707509881422925	0.6916996047430831	0.4918125352907961	1.0	0.11914172783738002	0.9232072275550539	0.7244494635798985	0.5798983625070581
TLS9	-0.006211180124223597	0.05138339920948616	-0.0005646527385657782	0.11914172783738002	1.0	0.04234895539243364	0.059288537549407126	-0.2162619988706945
GEP18	0.6894409937888198	0.7639751552795031	0.6239412761151891	0.9232072275550539	0.04234895539243364	1.0	0.7255787690570301	0.621682665160926
Korea30	0.8780350084697914	0.9051383399209485	0.7922077922077921	0.7244494635798985	0.059288537549407126	0.7255787690570301	1.0	0.6487859966120835
Dysf238	0.6318464144551101	0.6194240542066628	0.778656126482213	0.5798983625070581	-0.2162619988706945	0.621682665160926	0.6487859966120835	1.0
