cohort	reference	n	PC1_variance	r	ci_low	ci_high	p
CPTAC	CD3_IHC	83	0.8867705481393798	0.5436946667987331	0.3646829587982681	0.688468151641637	1.0861526490645997e-07
CPTAC	PTPRC_protein	108	0.8867705481393798	0.8174950222450865	0.737042279938224	0.8784371443249546	3.7449399059584384e-27
